,ex_day_obs,filter_status,count,filter,status
41,20250130,OG550_65mm_1_miss,8,OG550_65mm_1,miss
42,20250130,OG550_65mm_1_ok,22,OG550_65mm_1,ok
43,20250130,empty_miss,83,empty,miss
44,20250130,empty_ok,88,empty,ok
45,20250224,OG550_65mm_1_ok,47,OG550_65mm_1,ok
46,20250224,empty_ok,48,empty,ok
47,20250225,OG550_65mm_1_miss,36,OG550_65mm_1,miss
48,20250225,OG550_65mm_1_ok,18,OG550_65mm_1,ok
49,20250225,empty_miss,42,empty,miss
50,20250225,empty_ok,12,empty,ok
51,20250226,OG550_65mm_1_ok,67,OG550_65mm_1,ok
52,20250226,empty_miss,4,empty,miss
53,20250226,empty_ok,64,empty,ok
54,20250227,OG550_65mm_1_ok,20,OG550_65mm_1,ok
55,20250227,empty_miss,102,empty,miss
56,20250227,empty_ok,20,empty,ok
57,20250303,OG550_65mm_1_ok,39,OG550_65mm_1,ok
58,20250303,empty_ok,39,empty,ok
59,20250306,OG550_65mm_1_miss,12,OG550_65mm_1,miss
60,20250306,OG550_65mm_1_ok,9,OG550_65mm_1,ok
61,20250306,empty_miss,162,empty,miss
62,20250306,empty_ok,10,empty,ok
63,20250310,OG550_65mm_1_miss,103,OG550_65mm_1,miss
64,20250310,OG550_65mm_1_ok,31,OG550_65mm_1,ok
65,20250310,empty_miss,103,empty,miss
66,20250310,empty_ok,36,empty,ok
67,20250311,OG550_65mm_1_ok,35,OG550_65mm_1,ok
68,20250311,empty_ok,37,empty,ok
69,20250312,OG550_65mm_1_miss,5,OG550_65mm_1,miss
70,20250312,OG550_65mm_1_ok,56,OG550_65mm_1,ok
71,20250312,empty_miss,9,empty,miss
72,20250312,empty_ok,52,empty,ok
73,20250313,OG550_65mm_1_miss,42,OG550_65mm_1,miss
74,20250313,OG550_65mm_1_ok,18,OG550_65mm_1,ok
75,20250313,empty_miss,43,empty,miss
76,20250313,empty_ok,17,empty,ok
77,20250317,OG550_65mm_1_miss,11,OG550_65mm_1,miss
78,20250317,OG550_65mm_1_ok,245,OG550_65mm_1,ok
79,20250317,empty_miss,1,empty,miss
80,20250317,empty_ok,12,empty,ok
81,20250318,OG550_65mm_1_miss,64,OG550_65mm_1,miss
82,20250318,OG550_65mm_1_ok,212,OG550_65mm_1,ok
83,20250318,empty_ok,21,empty,ok
84,20250319,OG550_65mm_1_miss,6,OG550_65mm_1,miss
85,20250319,OG550_65mm_1_ok,278,OG550_65mm_1,ok
86,20250319,empty_miss,5,empty,miss
87,20250319,empty_ok,14,empty,ok
88,20250320,OG550_65mm_1_miss,22,OG550_65mm_1,miss
89,20250320,OG550_65mm_1_ok,267,OG550_65mm_1,ok
90,20250320,empty_miss,1,empty,miss
91,20250320,empty_ok,18,empty,ok
92,20250324,OG550_65mm_1_miss,370,OG550_65mm_1,miss
93,20250324,OG550_65mm_1_ok,18,OG550_65mm_1,ok
94,20250324,empty_miss,4,empty,miss
95,20250324,empty_ok,19,empty,ok
96,20250325,OG550_65mm_1_miss,60,OG550_65mm_1,miss
97,20250325,OG550_65mm_1_ok,11,OG550_65mm_1,ok
98,20250325,empty_miss,59,empty,miss
99,20250325,empty_ok,12,empty,ok
100,20250326,OG550_65mm_1_miss,51,OG550_65mm_1,miss
101,20250326,empty_miss,51,empty,miss
102,20250331,OG550_65mm_1_miss,66,OG550_65mm_1,miss
103,20250331,OG550_65mm_1_ok,18,OG550_65mm_1,ok
104,20250331,empty_miss,67,empty,miss
105,20250331,empty_ok,17,empty,ok
106,20250401,OG550_65mm_1_miss,12,OG550_65mm_1,miss
107,20250401,OG550_65mm_1_ok,52,OG550_65mm_1,ok
108,20250401,empty_miss,19,empty,miss
109,20250401,empty_ok,45,empty,ok
110,20250402,OG550_65mm_1_miss,11,OG550_65mm_1,miss
111,20250402,OG550_65mm_1_ok,72,OG550_65mm_1,ok
112,20250402,empty_miss,19,empty,miss
113,20250402,empty_ok,64,empty,ok
114,20250403,OG550_65mm_1_miss,15,OG550_65mm_1,miss
115,20250403,OG550_65mm_1_ok,53,OG550_65mm_1,ok
116,20250403,empty_miss,17,empty,miss
117,20250403,empty_ok,52,empty,ok
118,20250407,OG550_65mm_1_miss,11,OG550_65mm_1,miss
119,20250407,OG550_65mm_1_ok,75,OG550_65mm_1,ok
120,20250407,empty_miss,13,empty,miss
121,20250407,empty_ok,73,empty,ok
122,20250622,OG550_65mm_1_miss,3,OG550_65mm_1,miss
123,20250622,empty_miss,9,empty,miss
124,20250622,empty_ok,5,empty,ok
125,20250623,OG550_65mm_1_miss,1,OG550_65mm_1,miss
126,20250623,OG550_65mm_1_ok,26,OG550_65mm_1,ok
127,20250623,empty_miss,1,empty,miss
128,20250623,empty_ok,27,empty,ok
129,20250624,empty_ok,4,empty,ok
130,20250701,OG550_65mm_1_ok,31,OG550_65mm_1,ok
131,20250701,empty_ok,31,empty,ok
132,20250702,OG550_65mm_1_miss,2,OG550_65mm_1,miss
133,20250702,OG550_65mm_1_ok,41,OG550_65mm_1,ok
134,20250702,empty_miss,2,empty,miss
135,20250702,empty_ok,42,empty,ok
136,20250703,OG550_65mm_1_ok,27,OG550_65mm_1,ok
137,20250703,empty_miss,1,empty,miss
138,20250703,empty_ok,26,empty,ok
139,20250704,OG550_65mm_1_miss,2,OG550_65mm_1,miss
140,20250704,OG550_65mm_1_ok,24,OG550_65mm_1,ok
141,20250704,empty_miss,2,empty,miss
142,20250704,empty_ok,24,empty,ok
143,20250707,OG550_65mm_1_miss,1,OG550_65mm_1,miss
144,20250707,OG550_65mm_1_ok,62,OG550_65mm_1,ok
145,20250707,empty_ok,65,empty,ok
146,20250708,OG550_65mm_1_ok,62,OG550_65mm_1,ok
147,20250708,empty_miss,1,empty,miss
148,20250708,empty_ok,61,empty,ok
149,20250709,OG550_65mm_1_miss,1,OG550_65mm_1,miss
150,20250709,OG550_65mm_1_ok,80,OG550_65mm_1,ok
151,20250709,empty_miss,1,empty,miss
152,20250709,empty_ok,80,empty,ok
153,20250710,OG550_65mm_1_miss,2,OG550_65mm_1,miss
154,20250710,OG550_65mm_1_ok,70,OG550_65mm_1,ok
155,20250710,empty_miss,8,empty,miss
156,20250710,empty_ok,64,empty,ok
157,20250711,OG550_65mm_1_miss,1,OG550_65mm_1,miss
158,20250711,OG550_65mm_1_ok,70,OG550_65mm_1,ok
159,20250711,empty_miss,7,empty,miss
160,20250711,empty_ok,64,empty,ok
161,20250716,OG550_65mm_1_ok,17,OG550_65mm_1,ok
162,20250716,empty_ok,17,empty,ok
163,20250717,OG550_65mm_1_ok,77,OG550_65mm_1,ok
164,20250717,empty_miss,1,empty,miss
165,20250717,empty_ok,76,empty,ok
166,20250718,OG550_65mm_1_miss,1,OG550_65mm_1,miss
167,20250718,OG550_65mm_1_ok,78,OG550_65mm_1,ok
168,20250718,empty_miss,79,empty,miss
169,20250721,OG550_65mm_1_ok,63,OG550_65mm_1,ok
170,20250721,empty_miss,30,empty,miss
171,20250721,empty_ok,33,empty,ok
172,20250722,OG550_65mm_1_miss,1,OG550_65mm_1,miss
173,20250722,OG550_65mm_1_ok,77,OG550_65mm_1,ok
174,20250722,empty_miss,31,empty,miss
175,20250722,empty_ok,47,empty,ok
176,20250723,OG550_65mm_1_ok,84,OG550_65mm_1,ok
177,20250723,empty_miss,67,empty,miss
178,20250723,empty_ok,17,empty,ok
179,20250724,OG550_65mm_1_ok,67,OG550_65mm_1,ok
180,20250724,empty_miss,56,empty,miss
181,20250724,empty_ok,11,empty,ok
182,20250725,OG550_65mm_1_ok,54,OG550_65mm_1,ok
183,20250725,empty_miss,15,empty,miss
184,20250725,empty_ok,39,empty,ok
185,20250728,OG550_65mm_1_miss,2,OG550_65mm_1,miss
186,20250728,OG550_65mm_1_ok,89,OG550_65mm_1,ok
187,20250728,empty_miss,13,empty,miss
188,20250728,empty_ok,78,empty,ok
189,20250806,OG550_65mm_1_miss,47,OG550_65mm_1,miss
190,20250806,OG550_65mm_1_ok,124,OG550_65mm_1,ok
191,20250807,OG550_65mm_1_miss,75,OG550_65mm_1,miss
192,20250807,OG550_65mm_1_ok,156,OG550_65mm_1,ok
193,20250808,OG550_65mm_1_miss,67,OG550_65mm_1,miss
194,20250808,OG550_65mm_1_ok,170,OG550_65mm_1,ok
195,20250809,OG550_65mm_1_miss,21,OG550_65mm_1,miss
196,20250809,OG550_65mm_1_ok,57,OG550_65mm_1,ok
197,20250810,OG550_65mm_1_miss,54,OG550_65mm_1,miss
198,20250810,OG550_65mm_1_ok,117,OG550_65mm_1,ok
199,20250811,OG550_65mm_1_miss,56,OG550_65mm_1,miss
200,20250811,OG550_65mm_1_ok,139,OG550_65mm_1,ok
201,20250812,OG550_65mm_1_miss,18,OG550_65mm_1,miss
202,20250812,OG550_65mm_1_ok,58,OG550_65mm_1,ok
203,20250812,empty_miss,25,empty,miss
204,20250812,empty_ok,51,empty,ok
205,20250813,OG550_65mm_1_ok,30,OG550_65mm_1,ok
206,20250813,empty_miss,9,empty,miss
207,20250813,empty_ok,21,empty,ok
208,20250825,OG550_65mm_1_miss,14,OG550_65mm_1,miss
209,20250825,OG550_65mm_1_ok,40,OG550_65mm_1,ok
210,20250825,empty_miss,35,empty,miss
211,20250825,empty_ok,21,empty,ok
212,20250826,OG550_65mm_1_miss,17,OG550_65mm_1,miss
213,20250826,OG550_65mm_1_ok,59,OG550_65mm_1,ok
214,20250826,empty_miss,47,empty,miss
215,20250826,empty_ok,29,empty,ok
216,20250827,empty_miss,1,empty,miss
217,20250828,OG550_65mm_1_miss,4,OG550_65mm_1,miss
218,20250828,OG550_65mm_1_ok,55,OG550_65mm_1,ok
219,20250828,empty_miss,19,empty,miss
220,20250828,empty_ok,40,empty,ok
221,20250901,OG550_65mm_1_miss,16,OG550_65mm_1,miss
222,20250901,OG550_65mm_1_ok,60,OG550_65mm_1,ok
223,20250901,empty_miss,23,empty,miss
224,20250901,empty_ok,53,empty,ok
225,20250902,OG550_65mm_1_miss,13,OG550_65mm_1,miss
226,20250902,OG550_65mm_1_ok,49,OG550_65mm_1,ok
227,20250902,empty_miss,23,empty,miss
228,20250902,empty_ok,40,empty,ok
229,20250903,OG550_65mm_1_miss,17,OG550_65mm_1,miss
230,20250903,OG550_65mm_1_ok,54,OG550_65mm_1,ok
231,20250903,empty_miss,37,empty,miss
232,20250903,empty_ok,34,empty,ok
233,20250904,OG550_65mm_1_miss,18,OG550_65mm_1,miss
234,20250904,OG550_65mm_1_ok,52,OG550_65mm_1,ok
235,20250904,empty_miss,39,empty,miss
236,20250904,empty_ok,31,empty,ok
237,20250905,OG550_65mm_1_miss,17,OG550_65mm_1,miss
238,20250905,OG550_65mm_1_ok,59,OG550_65mm_1,ok
239,20250905,empty_miss,27,empty,miss
240,20250905,empty_ok,49,empty,ok
241,20250906,OG550_65mm_1_miss,6,OG550_65mm_1,miss
242,20250906,OG550_65mm_1_ok,72,OG550_65mm_1,ok
243,20250906,empty_miss,35,empty,miss
244,20250906,empty_ok,43,empty,ok
245,20250907,OG550_65mm_1_miss,6,OG550_65mm_1,miss
246,20250907,OG550_65mm_1_ok,43,OG550_65mm_1,ok
247,20250907,empty_miss,31,empty,miss
248,20250907,empty_ok,18,empty,ok
249,20250908,OG550_65mm_1_miss,2,OG550_65mm_1,miss
250,20250908,OG550_65mm_1_ok,80,OG550_65mm_1,ok
251,20250908,empty_miss,14,empty,miss
252,20250908,empty_ok,68,empty,ok
253,20250909,OG550_65mm_1_ok,37,OG550_65mm_1,ok
254,20250909,empty_miss,13,empty,miss
255,20250909,empty_ok,24,empty,ok
256,20250910,OG550_65mm_1_miss,1,OG550_65mm_1,miss
257,20250910,OG550_65mm_1_ok,84,OG550_65mm_1,ok
258,20250910,empty_miss,66,empty,miss
259,20250910,empty_ok,19,empty,ok
260,20250911,OG550_65mm_1_ok,67,OG550_65mm_1,ok
261,20250911,empty_miss,49,empty,miss
262,20250911,empty_ok,18,empty,ok
263,20250912,OG550_65mm_1_miss,18,OG550_65mm_1,miss
264,20250912,OG550_65mm_1_ok,47,OG550_65mm_1,ok
265,20250912,empty_miss,20,empty,miss
266,20250912,empty_ok,45,empty,ok
267,20250913,OG550_65mm_1_ok,73,OG550_65mm_1,ok
268,20250913,empty_miss,15,empty,miss
269,20250913,empty_ok,58,empty,ok
270,20250914,OG550_65mm_1_ok,58,OG550_65mm_1,ok
271,20250914,empty_miss,8,empty,miss
272,20250914,empty_ok,50,empty,ok
273,20250915,OG550_65mm_1_miss,1,OG550_65mm_1,miss
274,20250915,OG550_65mm_1_ok,72,OG550_65mm_1,ok
275,20250915,empty_miss,43,empty,miss
276,20250915,empty_ok,30,empty,ok
277,20250916,OG550_65mm_1_miss,1,OG550_65mm_1,miss
278,20250916,OG550_65mm_1_ok,76,OG550_65mm_1,ok
279,20250916,empty_miss,19,empty,miss
280,20250916,empty_ok,58,empty,ok
